id,symbol,date,open,high,low,close,volume
,SPY,2021-09-01,452.55999755859375,453.1099853515625,451.54998779296875,451.79998779296875,48721400
,SPY,2021-09-02,453.32000732421875,454.04998779296875,451.9100036621094,453.19000244140625,42501000
,SPY,2021-09-03,451.9800109863281,453.6300048828125,451.54998779296875,453.0799865722656,47170500
,SPY,2021-09-07,452.7099914550781,452.80999755859375,450.739990234375,451.4599914550781,51671500
,SPY,2021-09-08,450.8900146484375,451.6700134277344,448.8599853515625,450.9100036621094,56181900
,SPY,2021-09-09,450.70001220703125,452.57000732421875,448.7200012207031,448.9800109863281,57970400
,SPY,2021-09-10,451.0400085449219,451.489990234375,445.30999755859375,445.44000244140625,89948200
,SPY,2021-09-13,448.6400146484375,448.9200134277344,444.1099853515625,446.5799865722656,83738600
,SPY,2021-09-14,448.1199951171875,448.3399963378906,443.2200012207031,444.1700134277344,78197100
,SPY,2021-09-15,444.6199951171875,448.4100036621094,443.44000244140625,447.8800048828125,78792200
,SPY,2021-09-16,447.32000732421875,448.3599853515625,444.0199890136719,447.1700134277344,77786700
,SPY,2021-09-17,444.9200134277344,445.3699951171875,441.0199890136719,441.3999938964844,118425000
,SPY,2021-09-20,434.8800048828125,436.55999755859375,428.8599853515625,434.0400085449219,166445500
,SPY,2021-09-21,436.5299987792969,437.9100036621094,433.07000732421875,433.6300048828125,92526100
,SPY,2021-09-22,436.04998779296875,440.0299987792969,433.75,437.8599853515625,102350100
,SPY,2021-09-23,439.8500061035156,444.8900146484375,439.6000061035156,443.17999267578125,76396000
,SPY,2021-09-24,441.44000244140625,444.6700134277344,441.2099914550781,443.9100036621094,62094800
,SPY,2021-09-27,442.80999755859375,444.04998779296875,441.8999938964844,442.6400146484375,61371100
,SPY,2021-09-28,439.69000244140625,440.0400085449219,432.94000244140625,433.7200012207031,130436300
,SPY,2021-09-29,435.19000244140625,437.0400085449219,433.8500061035156,434.45001220703125,82329200
,SPY,2021-09-30,436.0199890136719,436.7699890136719,428.7799987792969,429.1400146484375,140506000
,SPY,2021-10-01,430.9800109863281,436.0299987792969,427.2300109863281,434.239990234375,129240100
,SPY,2021-10-04,433.0,433.9599914550781,426.3599853515625,428.6400146484375,128570000
,SPY,2021-10-05,430.239990234375,435.489990234375,429.3900146484375,433.1000061035156,90682500
,SPY,2021-10-06,429.2699890136719,435.1199951171875,427.5400085449219,434.8999938964844,113032200
,SPY,2021-10-07,438.3900146484375,441.67999267578125,438.20001220703125,438.6600036621094,72437500
,SPY,2021-10-08,439.4800109863281,439.8900146484375,437.19000244140625,437.8599853515625,74557400
,SPY,2021-10-11,437.1600036621094,440.260009765625,434.6199951171875,434.69000244140625,65233300
,SPY,2021-10-12,435.6700134277344,436.1000061035156,432.7799987792969,433.6199951171875,71181200
,SPY,2021-10-13,434.7099914550781,436.04998779296875,431.5400085449219,435.17999267578125,72974000
,SPY,2021-10-14,439.0799865722656,442.6600036621094,438.5799865722656,442.5,70236800
,SPY,2021-10-15,444.75,446.260009765625,444.0899963378906,445.8699951171875,66260200
,SPY,2021-10-18,443.9700012207031,447.54998779296875,443.2699890136719,447.19000244140625,62213200
,SPY,2021-10-19,448.9200134277344,450.7099914550781,448.2699890136719,450.6400146484375,46996800
,SPY,2021-10-20,451.1300048828125,452.7300109863281,451.010009765625,452.4100036621094,49571600
,SPY,2021-10-21,451.7699890136719,453.8299865722656,451.30999755859375,453.5899963378906,41305400
,SPY,2021-10-22,453.1300048828125,454.6700134277344,451.04998779296875,453.1199951171875,58845100
,SPY,2021-10-25,454.2799987792969,455.8999938964844,452.3900146484375,455.54998779296875,45214500
,SPY,2021-10-26,457.20001220703125,458.489990234375,455.55999755859375,455.9599914550781,56075100
,SPY,2021-10-27,456.45001220703125,457.1600036621094,453.8599853515625,453.94000244140625,72438000
,SPY,2021-10-28,455.4599914550781,458.3999938964844,455.45001220703125,458.32000732421875,51437900
,SPY,2021-10-29,455.8699951171875,459.55999755859375,455.55999755859375,459.25,70162400
,SPY,2021-11-01,460.29998779296875,460.70001220703125,458.20001220703125,460.0400085449219,48433600
,SPY,2021-11-02,460.2200012207031,462.2300109863281,460.0799865722656,461.8999938964844,48908400
,SPY,2021-11-03,461.29998779296875,465.1499938964844,460.8299865722656,464.7200012207031,52509800
,SPY,2021-11-04,465.3599853515625,467.0,464.989990234375,466.9100036621094,52847100
,SPY,2021-11-05,469.2799987792969,470.6499938964844,466.9200134277344,468.5299987792969,66390600
,SPY,2021-11-08,469.70001220703125,470.2300109863281,468.20001220703125,468.92999267578125,50405200
